,mutation_probability,final fitness
0,0,0.0020258666666666666
1,5,0.018573133333333325
2,10,0.051782733333333324
3,15,0.06307713333333333
4,20,0.055157999999999985
5,25,0.07732393333333334
6,30,0.06961353333333332
7,35,0.08043853333333333
8,40,0.07873866666666667
9,45,0.07191466666666663
10,50,0.0920645333333333
11,55,0.0968353333333333
12,60,0.10533013333333331
13,65,0.10171693333333337
14,70,0.10192419999999998
15,75,0.11085826666666665
16,80,0.12906346666666665
17,85,0.11243973333333336
18,90,0.12506906666666665
19,95,0.1230383333333333
20,100,0.10913740000000002
21,105,0.1270654666666666
22,110,0.12926806666666665
23,115,0.12042899999999998
24,120,0.12131206666666663
25,125,0.14086233333333323
26,130,0.1499994666666666
27,135,0.1230581333333333
28,140,0.12599853333333336
29,145,0.1262440666666666
30,150,0.14290013333333332
31,155,0.1313763999999999
32,160,0.11927186666666661
33,165,0.1194364
34,170,0.14911073333333333
35,175,0.13576639999999993
36,180,0.1386789999999999
37,185,0.14067300000000002
38,190,0.12951159999999998
39,195,0.13502119999999995
